微博内容,信息属性,发布日期,认证类型,地域,城市,性别,粉丝数,微博数,转,评,赞,话题,微博情绪,MD5-作者ID,MD5-mid,sum
#比亚迪刀片电池，出鞘安天下# 今天，比亚迪正式发布重磅产品—刀片电池！其无可比拟的安全性征服了动力电池测试领域的“珠穆朗玛峰”—针刺测试，重新定义全球新能源汽车安全标准，解除新能源汽车安全痛点，让消费者受益。千锤百炼，始见真“刀”，“刀”已出鞘，志安天下！ http://t.cn/A6ZfNMjv ??,非敏感,2020/3/29 16:50,蓝V,江苏, ,男,18434024,175880,1672,1128,867,比亚迪刀片电池，出鞘安天下,愤怒,3e9e04cfa8924207ae0d0ced47cca7ba,843c095ba36e0e7a2975cec95292c614,3667
【最新消息！溧水开沃汽车入选“2019胡润全球独角兽榜” 】日前，著名财经研究机构胡润研究院发布《2019胡润全球独角兽榜》，对全球494家独角兽企业进行排名，溧水开发区开沃新能源汽车上榜，排名第224位。在技术研发上，开沃汽车拥有一支以专家、博士、硕士为技术领头人的700余人的技术团队，集中了国内优秀的研究、试验队伍和先进的技术成果。新能源技术开发平台在自主研发和试验检测方面均做到国内一流；技术成果在电驱动智能化、整车控制策略、电安全保障、轻量化、舒适性设计、内外饰等方面打造国内一流产品。除了紧跟国家新能源战略步伐以外，公司在产学研合作创新方面也有所突破，被评为2017年中国产学研合作好案例。通过自主创新和对外合作，公司目前已取得专利500余项，其中发明专利200余项，实用新型专利331项。,非敏感,2019/10/23 9:48,蓝V,江苏,南京,男,429554,26855,3087,106,112, ,中性,4a33aa028971037826d9f1e97535b9f9,99d3fc2e212b3054583e3f15b85c7837,3305
最近我连续关注了网约车司机收入问题，据说在司机圈里引发广泛讨论。一位广州的滴滴司机家属说，现在的行情是一个月31天开满班，每天14小时以上，流水13000多。偶尔运气特别好的那天有个6百来块，大多数时候是3百，4百块。双证司机，口碑值340，3万五千多单老司机，家中大小事务一律不用管，晚上12点左右收工，新能源车冲完电回到家差不多凌晨2点，早上9点左右开工，每天如此。我为什么一直很关注网约车司机这个群体？因为这个群体现在和未来会成为出行生活中不可或缺的人群。这个群体本身也是新增就业比较大的人群，一个相对较新的职业，变数和机遇也是最大的。#滴滴出行##网约车司机#,非敏感,2020/5/31 15:36,金V,宁夏, ,男,183889,11338,134,695,1965,网约车司机;滴滴出行,愤怒,3c7e652a78c00db9a608a80182f4b966,94b9854fefc80b547cffb927158aef2b,2794
【小调查：你家有几辆车？】“中国今年年底成为世界上规模最大的汽车保有国，没什么悬念了。”在12月13日于上海举行的新能源智能汽车生态高峰论坛上，中国汽车工业协会常务副会长兼秘书长付炳锋提出，截至目前，中国汽车的保有量已达2.75亿辆，总体水平与美国相当，“把最近三个月的销量乘以四，一年的销量就超过了3000万辆”。 http://t.cn/A6q5XIv0,非敏感,2020/12/14 7:20,蓝V,上海, ,男,4760233,46047,4,10,2061, ,中性,b5010f519423e5ebc885e1972ec76eaf,1fabb81ccc4d8b66bd2969322fb4e498,2075
【首个纯电动重卡项目在溧水开工，填补了南京市在新能源重卡领域中的空白】6月19日，溧水区2019年二季度重点制造业集中开工仪式在开发区举行，总投资30亿元的开沃纯电动重卡项目引人注目，该项目不仅填补了南京市在新能源重卡领域中的空白，而且将进一步带动汽车关键零部件及配套生产项目聚集，加快构建新能源汽车全产业链生态圈。,非敏感,2019/6/20 16:25,蓝V,浙江,台州,男,429554,26855,949,215,738, ,中性,4a33aa028971037826d9f1e97535b9f9,576d82d3864271870307058621b13bd7,1902
【中国最大汽车集团：一年拿135亿做广告，却只投153亿搞研发】这些年国产汽车品牌逐渐崛起，吉利和比亚迪以及长安这些民企都已经走出国门，在世界市场上占有一定的市场了，他们也逐渐在挑战中国最大的汽车集团上汽集团的地位，上汽集团为了保住自己龙头企业的地位，这些年在广告上也没少投入，一年拿出了135亿做广告，但是在研发上只投入了153亿，真是让人笑话。上汽集团的收入接近万亿，但是它的研发费用才153亿，这个占比也是相当低的，不过相比2017年已经增加了很多，不过和外国汽车巨头相比，就显得大巫见小巫了，宝马公司在去年的收入为974亿欧元，但是研发投入了69亿欧元，占比为7.1%。德国大众集团在每年的研发经费上都会超过1000亿人民币，而国外的车企在研发经费上都会超过收入的5%，但是上汽集团仅仅占到了1.7%，和国际平均水平相比还差很远，而大众还宣布在2022年研发费用增加到2300亿人民币。研发费用低在国内是普遍现象，就连发展比较迅速的吉利和比亚迪，吉利主要是收购外国技术为主，比亚迪现在侧重于新能源方向，长城汽车在研发经费上，也从2017年的34亿元，下降到了17亿元。这些现象在国内的汽车企业中是普遍存在的，就像手机行业一样，也只有华为大量的投入研发资金，其他的都是靠广告营销，所以我们也希望国内的这几大巨头能在研发上多投入。,非敏感,2019/6/8 8:40,金V,广东,珠海,男,1491102,116078,105,232,1014, ,中性,997222cd3e456ad91a815a3b4496863b,0b21ff206121258b16b3ce776ae6aed1,1351
【#全国私家车保有量首破2亿#，你家有车吗？】中国公安部7日发布的数据显示，截至2019年底，全国汽车保有量达2.6亿辆；私家车保有量达2.07亿辆，首次突破2亿辆；新能源汽车保有量达381万辆，占汽车总量的1.46%；全国机动车驾驶人数量达4.35亿人，其中汽车驾驶人达3.97亿人，占驾驶人总数的91.26%。 http://t.cn/AisSEWMH,非敏感,2020/1/8 8:51,蓝V,上海, ,男,4760233,46047,10,10,1100,全国私家车保有量首破2亿,中性,b5010f519423e5ebc885e1972ec76eaf,cacfa97a3d2c181f02bd92d86e4546ca,1120
5G、新能源汽车 、半导体产业链全景图 ??,非敏感,2019/6/1 10:33,蓝V,北京, ,男,3763175,130753,362,9,252, ,中性,22f985b804ef1d74986c41591fddc88d,c663b5075c09d4bfbe6fe76a855380d7,623
【#特斯拉# ：中国制造Model 3标准续航升级版价格明日公布，将降低至30万元以内，你会把特斯拉3作为购车第一选择吗？】4月30日丨特斯拉官方微博表示，为了让更多中国消费者可以享受到更优性价比的特斯拉产品，同时满足国家新能源汽车补贴要求，中国制造#model3# 标准续航升级版价格将降低至人民币30万元以内，新的价格将会于明日在官网公布。 http://t.cn/A6A4SH58,非敏感,2020/4/30 8:43,金V,广东,深圳,男,1491102,116078,15,4,601,MODEL3;特斯拉,中性,997222cd3e456ad91a815a3b4496863b,fdabdeb964fdb532c84f7c72737c5769,620
【买车的话最看重车的哪一方面？】#特斯拉官宣国产Model 3明起降价#[话筒]】4月30日早间消息，特斯拉官方微博表示，为了让更多中国消费者可以享受到更优性价比的特斯拉产品，同时满足国家新能源汽车补贴要求，#特斯拉国产Model3降至30万以下#，买车的话最看重车的哪一方面？ http://t.cn/A6A4lRc4 ??,非敏感,2020/4/30 9:40,蓝V,黑龙江,哈尔滨,男,1557031,87262,8,3,569,特斯拉国产MODEL3降至30万以下;特斯拉官宣国产MODEL 3明起降价,中性,de40030bef74575087bf8339a67b4bfd,b39a05e25e8213eb970fcabe047b90de,580
http://t.cn/RJPloSH[星星][星星]，到家了，我路上又想了一下这个片子到底咋回事。客观的说，我觉得这部片被全网嘲成这样是不对的，整部影片的观感真的比我想象中要好，当然了，片子是烂片，但真的只是一部普通的烂片，在每年众多上院线的烂片里属于中规中矩的那种烂，和《逐梦演艺圈》《爱情公寓》那种明目张胆的骗钱区别很大。老实说我还有感受到导演其实是想把影片拍好的，就流量明星的口碑和吸金程度来说，实际上哪怕导演后期放飞自我，影片的票房也就那样了，死忠粉丝并不会因为这点差别就不去贡献票房，就题材和态度我给两星。影片开头的特效其实挺有诚意的，做得还行，后期就不行了，明显有偷工减料的痕迹，中期的战斗也是大量黑色场景加远景混合镜头快速切换，唯恐给观众看到近景和细节，能看出他们的特效团队非常节俭。剧情和逻辑就完全莫名其妙了。剧情的核心是地球人从外太空发现了一种新能源并带回地球，这种新能源外形好像是矿物，又有植物的特性，被称之为仙藤，仙藤可以自我复制，不停的生长。地球上有好多城市都拿到这种新能源去代替石油和电力，总之就是哪个城市把仙藤种在地底下，这个城市就展开飞速的发展。按照正常的科幻片套路，这样的一本万利，无毒无害的新能源绝对有坑，可是这个片子里真没有，除了城市大型设备压榨过度会导致出力不足，我还就真的没看到有说仙藤哪里不好的，无非就是生长速度跟不上人类的使用程度。然后外星人来了，外星人也想要这个新能源，人类不给，外星人就自己挖，于是地球人和外星人开始打生打死，好多城市都被外星人毁灭了，最后轮到上海。这个时候上海地下已经有大片的仙藤长势良好，上海防卫部队以此为能源研发了一个力场，搞成类似结界一样的东西不让外星人进来。舒淇和鹿晗都是上海防卫部队的成员，每天的工作就是：外星人攻击力场了-力场破了-外星人打进来了-消灭打进来的外星人-力场修好了-今天谁谁牺牲了。但是你仔细想想，这尼玛是不是有病？既然是一个可再生会自动复制的能源，你分点给人家不就好了？而且影片里只是有仙藤的城市被攻击，其他城市还是照样在过日子。。。。外星人也混蛋啊，本来地球人就是宇宙里发现的东西，你跨越星海跑到地球，有这个技术勘探能力连地球人都不如？有关外星人的科技力从根本设定上就讲不过去了，然后战斗方面也是满头黑线。我猜是因为压缩成本的关系，影片中的外星人除了母舰（抄独立日的设定）只有一个兵种，是种类人型两足四爪机器人，整部影片全部的战斗都是围绕这个兵种，叫啥我忘记了，也不重要，反正影片里这样的机器人全身铁皮包裹，一脚能踹飞普通轿车，不惧机关枪扫射（怕鹿晗的手枪），差不多一台就能消灭几十个全副武装的人类士兵，战力基本上和坦克相当吧。这样的机器人一艘外星人母舰一次能释放几百个，然后都打了好多年了，人类士兵一旦和机器人展开遭遇战，无一例外全部都会用轻武器（机关枪、手枪）应战，放着旁边停着坦克、无人机不用，虽然死的很惨，可是无法让人同情啊。。。。无人机必须要人操控、指挥中心一天到晚被攻破，操作系统全是手动之类的槽点就更多了，不过算了，这部电影卖点是爱情，我就当看不见吧。说个影片最大的问题吧，就是导演和编剧完全没有塑造出那种外星人压境的末世感和紧张感，影片发生的地点2030年左右的上海，导演拍了不少上海的标志性建筑，作为风光片来说是可以了，但是这是战争片啊，哪怕建筑没有被破坏，可是为啥上海人一点紧张感都没有，大家都是该干嘛干嘛，整个城市洋溢着和平的气氛，明明天天在打仗，一线军人甚至每天回石库门的家睡觉，发生战斗了套上军服就往指挥所跑，这是搞笑吗？设定和场景表现出极大的违和，就会让观众出戏，觉得好假，压根不是这么回事。演员本身来说舒淇也是不合格的，她饰演的女司令角色本身一点说服力都没有，全程在做一些不应该是司令做的事情，反正我看完全片也没有搞懂她何德何能能当司令，以及在这个工作岗位上具体发挥了什么作用，比其他人强在哪里，如果真的是末日，我发现守护大家的司令是这样的人，我真的会很绝望啊。鹿晗的表现就那样吧，虽然他的剧情很乱，到底是干嘛的，又怎么上位的包括感情线我都没看懂，但实话实说，这个电影编剧的锅更大，我觉得真的就是给我笔，我都不会让剧情崩到这种程度。总体来说除非你特别闲，否则不值得观看，浪费我四十五块钱。。。,敏感,2019/8/11 20:07,金V,上海, ,女,1775058,42241,33,116,422, ,悲伤,cf949cfb65257a8c6010b4173f13a7d6,7e6f8c4960c2a771b0bd2e6626dcca41,571
【A股科技龙头公司全名单：最全科技“细分龙头股”出炉，高增长太稀缺，机构扎堆重仓】本文特以市场近些年热炒的几大热门科技类题材如芯片、PCB、无线耳机、OLED、锂电池、特斯拉、操作系统等为基础，同时梳理了部分科技属性较强的板块如大数据、云计算、网络安全、新能源汽车、医药生物等，并从中筛选出行业地位领先、A股市场稀缺的上市公司名单作为科技类龙头，以供读者参考。具体名单见下表：#股票##A股##投资#,非敏感,2019/12/9 21:53,金V,广东, ,男,1491102,116078,353,19,96,A股;投资;股票,中性,997222cd3e456ad91a815a3b4496863b,0ea74e2d6e452aa8a9e4c96a76b9b57c,468
#2021至2022年新能源车免征购置税#【三部委：明后两年继续对购置的#新能源汽车免征车辆购置税#】公告指出，自2021年1月1日至2022年12月31日，对购置的新能源汽车免征车辆购置税。你会购买新能源车吗？ http://t.cn/RxkVVYQ http://t.cn/A6wnmlBv ??哈尔滨,非敏感,2020/4/22 18:56,蓝V,黑龙江, ,男,1557031,87262,4,2,460,新能源汽车免征车辆购置税;2021至2022年新能源车免征购置税,中性,de40030bef74575087bf8339a67b4bfd,2b5fd68b27bec738d9ad608d3e4810b8,466
#上汽头条#【上汽大众MEB工厂落成 年产能将达30万辆】今天，@上汽大众-大众品牌  新能源汽车工厂在安亭落成，上汽集团董事长陈虹，大众汽车集团管理董事会主席迪斯博士出席仪式，见证新工厂首辆 ID车驶下生产线。上汽大众MEB工厂总投入 170 亿元，规划年产能 30 万辆，将于 2020 年 10 月正式投产， 是目前国内生产规模最大、效率最高的纯电动汽车工厂。那么上汽大众MEB工厂都有什么过人之处呢？首先，上汽大众MEB工厂大又省，总建筑面积约61万平方米，分为冲压、车身、油漆、总装和电池装配车间，用地面积仅为其他相同规模新建工厂的三分之一。其次，工厂采用1400多台工业4.0标准机器人，其中车身车间就拥有约1000台机器人，千台机器人齐作业，想想就很高能。此外工厂运用 27 项环保、节能新技术，实现5 项关键环境指标下降 20%。依托MEB平台，电动汽车的潜能将在这儿被充分挖掘，用可靠的品质、先进的技术、前沿的设计， 树立电动车领域的新标杆~,非敏感,2019/11/8 11:06,蓝V,上海, ,男,363627,11462,103,31,325,上汽头条,中性,9f1c5ac0279f58c0503b8e0aea22c9ba,95d134be72fce5efceaa48aa20384f9a,459
【“你见过凌晨两点的杭州吗？”“几点的都见过”】无数的奋斗者坚守着最后一班岗，为整座城市尽责打烊。他们是谁？即日起，共青团浙江省委宣传部、钱江晚报、吉利新能源联合发起致敬#城市打烊人# 活动。关注@钱江晚报 @浙江团省委 @吉利汽车 带#城市打烊人#话题转发并评论此条微博，留下你的深夜故事，我们将抽取3位打烊人发放暖心礼品，还有2位幸运儿享受神秘大咖接送机会！夜路漫漫，这一程，我陪你～ @微博抽奖平台 http://t.cn/Ai1ChKxs,非敏感,2019/10/28 15:46,蓝V,浙江, ,男,6809326,108741,112,199,115,城市打烊人,悲伤,14a1650db9f00bcb4b3c25332b892192,7b2c0732bc2c9c8bf9d1fee762311ed0,426
【ETF投资策略】从2015年6月牛市见顶之后，A股已经熊了4年零3个月，快打破最长熊市记录。总之，A股下一轮牛市不会太远，可能就在最近1-2年。具体逻辑可参见笔者此前文章：《A股下一轮牛市启动的关键指标》。在牛市来临之前，私藏会挖一个黄金坑，给予耐心的投资者。想想看，那轮牛市不是等到市场呼吁“推动重来”时来反转走好的呢？如果是笔者，会在未来合适的时间来进行如下布局：1、长期标的：沪深300+中证500。可能会更趋向于沪深300增强和中证500增强，毕竟下跌更少一点，上涨更多一点。2、长期标的：中国核心资产——贵州茅台、中国平安、恒瑞医药等。它们是经过市场长期考验的核心龙头，拿着心不慌，做时间的朋友，收益会让你满意。3、中期标的：攻击性指数基金——券商ETF。俗话说，牛市中最不可缺少的是券商股，收益会很有想象力，一般会大幅优于大盘指数和沪深300指数。此外，我还会拿一个大券商——比如中信建投或华泰证券，以及一个小券商——比如中原证券或东北证券。4、中期标的：科技股ETF“三剑客”——通信ETF、计算机ETF、半导体50。未来，科技股会成为A股长期的市场主线，科技板块不可或缺。中长期拿着这几个指数基金，将充分受益于5G、半导体等产业的崛起。5、中期标的：新能源汽车、半导体、云计算、5G中，挑选核心受益龙头。比如，深南电路、沪电股份、汇顶科技等，今年股价已经涨破天际，到时候在根据估值选择性上车。以上提到的长期标的，时间跨度在5年以上，中期标的至少也在2-5年之间。我从事股票交易这么多年，最大的感触就是，普通投资者唯一能战胜市场，战胜机构的优势就是时间，时间，时间！这让我感触颇深，心里暗下决心：在A股赚钱，一定要当“傻瓜”，选出好股，捂住好股，做时间的朋友！投资需要大道至简，或许这就是！#A股#,非敏感,2019/9/21 17:13,金V,广东,深圳,男,1491102,116078,174,14,104,A股,中性,997222cd3e456ad91a815a3b4496863b,a8ce870c29441d2e52bc16e920838880,292
【华泰策略】一张图看清“新基建”（附标的）从流动性、景气和估值等角度来看，新基建板块配置性价比较高，建议关注三者共振方向：机械（仪器仪表/工业机器人等）、通信（车联网/IDC等）、传媒（广电，与国网共建5G）、军工（卫星）、汽车（智能汽车相关）、电力设备及新能源（特高压/电动车充电网络）。从政策角度来看，类比2009提出战略新兴产业、2013年提出信息消费，政策级别均较高，且后续均有详细规划方案出台，而2020年的“新基建”虽然由政治局会议提出，但暂未有实际的详细规划方案，我们认为未来若有进一步的系列相关配套政策出台，则相关产业推进或加速，主题的空间或再次打开。#央行决定定向降准##股票##A股#,非敏感,2020/3/15 20:48,金V,广东,深圳,男,1491102,116078,174,11,103,A股;股票;央行决定定向降准,中性,997222cd3e456ad91a815a3b4496863b,4d1c835728b0c1788853af252fdc7bd0,288
【科创板集成电路板块公司名单，都只是概念，估值泡沫很大，垃圾股居多，别追涨】中微公司为什么最近涨幅这么大？因为中微公司开发出与美国设备公司具有同等质量和相当数量的等离子体刻蚀设备并实现量产。2018年末，中微公司通过台积电5nm生产线验证，这是全球首条5nm生产线，跻身国际第一梯队，具有国产唯一替代性。但差距有15-20年，概念大于科技！一份最全的科创板概念名单：一、集成电路板块：1、华兴源创?主营业务：平板显示及集成电路的检测设备研发、生产和销售集成电路?公司研发和生产的集成电路测试机是检验芯片功能和性能的专用设备，判断芯片在不同工作按条件下功能和性能的有效性。2、睿创微纳主营为从事非制冷红外热成像与MEMS传感技术开发的集成电路芯片企业，致力于专用集成电路、MEMS传感器及红外成像产品的设计与制造。3、澜起科技主营为云计算和人工智能领域提供以芯片为基础的解决方案4、中微公司?主营为聚焦用于集成电路、LED芯片等微观器件领域的等离子体刻蚀设备、深硅刻蚀设备和MOCVD设备等关键设备的研发、生产和销售。5、乐鑫科技? 主营为从事物联网Wi-FiMCU通信芯片及其模组的研发、设计及销售6、安集科技?产品包括不同系列的化学机械抛光液和光刻胶去除剂，主要应用于集成电路制造和先进封装领域。7、瀚川智能主营为从事汽车电子、医疗健康、新能源电池等行业智能制造装备的研发、设计、生产、销售及服务，助力制造行业客户实现智能制造。8、杰普特主营为研发、生产和销售激光器以及主要用于集成电路和半导体光电相关器件精密检测及微加工的智能装备。在光纤器件方面，公司现为中兴、华为、中磊电子等知名企业的合格供应商。9、芯源微? ?主营为半导体专用设备的研发、生产和销售10、晶晨股份??主营为多媒体智能终端SoC芯片的研发、设计和销售。11、聚辰股份? 主营为集成电路产品的研发设计和销售，并提供应用解决方案和技术支持服务。12、清溢光电?公司生产半导体集成电路凸块掩膜版，集成电路代工掩膜版等，主要应用于半导体芯片行业，主要客户有:士兰微，中芯国际等。13、晶丰明源?主营为电源管理驱动类芯片的研发与销售。公司是国内领先的电源管理驱动类芯片设计企业之一，主营业务为电源管理驱动类芯片的研发与销售。#2019中国经济年报##股票##A股#,非敏感,2020/1/18 6:31,金V,广东,深圳,男,1491102,116078,152,13,91,A股;2019中国经济年报;股票,中性,997222cd3e456ad91a815a3b4496863b,f666134e4d944ab4c506c474f8788c53,256
【#何小鹏称买特斯拉股票赚两三架飞机#[哆啦A梦吃惊]】#新能源汽车# 1月29日，小鹏汽车创始人何小鹏在极客公园·创新大会2021上表示，自己在几年前购买了特斯拉等造车新势力股票，并赚了一笔：大概两三架飞机！ http://t.cn/A65iDZ41 ??,非敏感,2021/1/29 21:26,蓝V,上海, ,男,4760233,46047,7,32,197,何小鹏称买特斯拉股票赚两三架飞机;新能源汽车,惊奇,b5010f519423e5ebc885e1972ec76eaf,c8aadbf3872a878bab7f1fcc23072372,236
#北京相关部门正研究是否征收拥堵费#【北京是否征收拥堵费？发放郊区牌照？有关部门正研究】今年6月，北京市交通委就小客车数量调控政策优化方案公开向社会征求了意见。据统计，来信来电中，持支持态度并提出修改完善建议的占80.4%，持反对态度的占19.6%。公众意见主要集中在家庭新能源指标占比过高。此外，还提出了征收拥堵费和发放郊区牌照等政策建议。对此建议，市交通委今天上午表示，市有关部门将结合落实城市总体规划进一步研究论证。http://t.cn/A6qZ9SnV,敏感,2020/12/7 13:28,蓝V,上海, ,男,1918658,69936,28,37,169,北京相关部门正研究是否征收拥堵费,中性,820b15314f6915f2639a2657b2cfb474,8116bf03e182bbf6e28bb91480c7e361,234
